term,definition
A&F,Assessment and Feedback
A/C,AIRCRAFT
A/D conversion ,Analogue/ Digital Conversion 
A/F,AIR FIELD
A/I,AUDIT AND INSPECTION
AA,AIR-TO-AIR
AA,Allied Action 
AAA,ANTI-AIRCRAFT ARTILLERY
AAAWHQ,AFCENT/AIRCENT ALTERNATE WAR HEADQUARTERS
AAD,AREA AIR DEFENCE
AADC,AREA AIR DEFENCE COMMANDER
AAFCE,"ALLIED AIR FORCES, CENTRAL EUROPE (AIRCENT)"
AAFNORTHWEST,"ALLIED AIR FORCES, NORTHWEST EUROPE (AIRNORTHWEST)"
AAFSOUTH,"ALLIED AIR FORCES, SOUTHERN EUROPE (AIRSOUTH)"
AAIS,ACE ACCIS IMPLEMENTATION STRATEGY
AAM,AIR-TO-AIR MISSILE
AAMG,ANTI-AIRCRAFT MACHINE GUN
AAP,Air Armament Panel 
AAP,ALLIED ADMINISTRATIVE PUBLICATION
AAR,After Action Review
AAR,AIR-TO-AIR REFUELLING
AAR,After Action Report
AARP,Air-To-Air Refuelling Panel 
AARTYP,ALLIED ARTILLERY PUBLICATION
AASTP,ALLIED STORAGE AND TRANSPORT OF AMMUNITION AND EXPLOSIVES PUBLICATION
AAVSP,ALLIED AVIONICS PUBLICATIONS
AAW,ANTI-AIR WARFARE
ABCCC,"AIRBORNE COMMAND, CONTROL AND COMMUNICATIONS"
ABIH,ARMY OF THE BOSNIANS IN HERZEGOVINA
ABM,Anti-Balistic Missile
ABNOC,AIRBORNE OPERATIONS CENTRE
AC,Archives Committee
AC,Advisory Committee
AC,ATLANTIC COUNCIL
AC/ CLD ,ACT Communications Logistics Depot 
ACA,AIRSPACE CONTROL AUTHORITY
ACAAP,Alliance Capability Approach after Prague
ACC,Air Component Commander
ACCAP,ACE CIS CONTINGENCY ASSETS POOL
ACCB,ACO Centralised CIS Budget
ACCIS,"AUTOMATED COMMAND, CONTROL & INFORMATION SYSTEM"
ACCP,ALLIED COMBAT CLOTHING PUBLICATION
ACCS,Air Command & Control System
ACCS AC,Air Command & Control System Advisory Committee
ACCS SC,Air Command & Control System Software Committee
ACCS UG,Air Command & Control System User Group
ACCS(T),AIR COMMAND AND CONTROL SYSTEM (TEAM)
ACCOMS,Acoustic Communications
ACE,ALLIED COMMAND EUROPE
ACE,ANALYSIS AND CONTROL ELEMENT
ACE ACCIS,Allied Command Europe - Automated Command and Control Information System  
ACEADGE,ALLIED COMMAND EUROPE AIR DEFENCE GROUND ENVIRONMENT
ACECOMSEC,ALLIED COMMAND EUROPE COMMUNICATIONS SECURITY
ACESC,ACE STANDARDISATION CONFERENCE
ACG,AMPHIBIOUS COMBAT GROUP
ACINT,ACOUSTIC INTELLIGENCE
ACL,Allowable Cabin Load
ACLANT,ALLIED COMMAND ATLANTIC
ACMP,ALLIED CONFIGURATION MANAGEMENT PUBLICATION
ACO,Allied Command for Operations
ACO,Allied Command - Operations
ACO,Airspace Control Order
ACOC,AIR COMMAND OPERATIONS CENTRE (STC)
ACODP,ALLIED CODIFICATION PUBLICATION
ACOMP,ALLIED COMMUNICATION PUBLICATION
ACOS,Assistant Chief of Staff
ACP,ALLIED COMMUNICATION PROCEDURES
ACP,ALLIED COMMUNICATION PUBLICATION
ACROSS,Allied Command Resource Optimisation Software System.
ACSA,Acquisition cross-service agreement
ACS,Advanced Concept Studies
ACT,Allied Command Transformation
ACT,AUTHORISATION CHANGE TIME
ACT,Allied Command - Transformation
ACTD,Advance Concepts Technology Demonstration
ACTORD,ACTIVATION ORDER
ACTREQ,ACTIVATION REQUEST
ACTWARN,ACTIVATION WARNING
AD,ACO Directive
AD,ACE DIRECTIVE
AD,AIR DEFENCE
AD,Armaments Director
AD,ARMOURED DIVISION
AD C&R,??
AD LA&R,"Armaments Director Logistics, Armaments and Resources"
AD P&P,Armaments Director Plans & Policy
ADA,Air Defense Artillery
ADAMS,ALLIED DEPLOYMENT AND MOVEMENT SYSTEM
ADatP3,Allied Data Publication (number) 3
ADATS,AIR DEFENCE ANTI-TANK SYSTEM
ADCP,Accoustic Doppler Current Profiles
ADC2S,ALLIED DEPLOYABLE COMMAND AND CONTROL SYSTEM
ADGE,AIR DEFENCE GROUND ENVIRONMENT
ADIZ,AIR DEFENCE IDENTIFICATION ZONE
ADL,Advanced Distributed Learning 
ADM,ACE DATA MODEL
ADM,ATOMIC DEMOLITION MUNITIONS
ADMIRALDANFLEET,ADMIRAL DANISH FLEET
ADOC,AIR DEFENCE OPERATIONS CENTRE
ADP,Air Defence Philosophy
ADP,Automated Data Processing 
ADPS,AUTOMATIC DATA PROCESSING SYSTEM
ADR,AIR DEFENCE REGION
ADS,AIR DEFENCE SYSTEM
ADS,ARCHITECTURAL DESIGN STUDY FOR ACE ACCIS
ADSIA,ALLIED DATA SYSTEM INTEROPERABILITY AGENCY
ADSL ,Asynchronous Digital Subscriber Loop 
ADSW,Active Duty for Special Work
ADSWG,Air Defence Sub Working Group
ADT,Additional Duty for Training
ADVON,Advanced Echelon
ADW,Air Defence Weapons
AE,ACRONYMS ENCYCLOPAEDIA
AECP,ALLIED ENVIRONMENTAL CONDITIONS PUBLICATION
AECTP,ALLIED ENVIRONMENTAL CONDITIONS TESTING PUBLICATION
AEDP,ALLIED ENGINEER DOCUMENTATION PUBLICATION
AEE,ACT European Element 
AEGIS,AEW GROUND INTERPRETATION SEGMENT
AENGRP,ALLIED COMBAT ENGINEER PUBLICATION
AEODP,ALLIED EXPLOSIVE ORDNANCE DISPOSAL PUBLICATION
AEP,ALLIED ENGINEERING PUBLICATION
AEPP,ALLIED ENGINEERING PRACTICES PUBLICATION
AERB,ACE EXERCISE REVIEW BOARD
AESS ,Allied Environmental Support System 
AETP,ALLIED ELECTRONICS PUBLICATION
AEW,AIRBORNE EARLY WARNING (RADAR PICKET AIRCRAFT)
AF,AIR FORCE
AFAP,ARTILLERY FIRED ATOMIC PROJECTILES
AFB,Air Force Base
AFCAT,ACT Future Capabilities Analysis Team
AFCCIS,CA Air Force CCIS
AFCENT,ALLIED FORCES CENTRAL EUROPE
AFIS,Allied Information Flow System 
AFLP,ALLIED FUEL PUBLICATION
AFNORTH,ALLIED FORCES NORTH EUROPE
AFNORTHWEST,ALLIED FORCES NORTHWESTERN EUROPE
AFP,ALLIED FORCES PUBLICATION
AFS,ACO Force Standards
AFS,ACE Forces Standards
AFSOUTH,ALLIED FORCES SOUTHERN EUROPE
AGEOP,ALLIED GEOGRAPHIC PUBLICATION
AGFC,Ad hoc Group of Financial Counsellors
AGM,Annual General Meeting 
AGM,AIR-TO-GROUND MISSILE
AGS,Air-to-Ground Surveillance 
AGS,ALLIANCE GROUND SURVEILLANCE 
AGS,Alliance/Airborne Ground Surveillance
AGS SC,ALLIANCE GROUND SURVEILLANCE Steering Committee
AHC,Air Command & Control System Hardware Committee
AHP,ALLIED HYDRAULICS PUBLICATION
AHWG,AD HOC WORKING GROUP
AI,Air Interdiction
AIA,ACE INTELLIGENCE ARCHITECTURE
AIAWG,AIA WORKING GROUP
AICV,ARMOURED INFANTRY COMBAT VEHICLE
AIDB,ACE INTELLIGENCE DATA BASE
AIDM,ACE INTELLIGENCE DATA MANAGEMENT
AIDM,ACE INTELLIGENCE DATA MODEL
AIERP,Air Information Exchange Requirement Panel 
AIFF,Air Identification Friend or Foe 
AIM,AIR INTERCEPT MISSILE
AIMS,Armaments Information Management Systems
AINTP,ALLIED INTELLIGENCE PUBLICATION
AIP,Aircraft/Aircrew Integration Panel 
AIR,AREA OF INTELLIGENCE RESPONSIBILITY
AIRCENT,ALLIED AIR FORCES CENTRAL EUROPE
AIRNORTHWEST,ALLIED AIR FORCES NORTHWESTERN EUROPE
AIRSOUTH,ALLIED AIR FORCES SOUTHERN EUROPE
AIS,Automated Information Systems 
AIS,Automatic Identification System (maritime/shipping)
AISP,ALLIED IMAGERY SYSTEMS PUBLICATION
AJOD,Allied Joint Operations Doctrine
AJOD WG,Allied Joint Operations Doctrine Working Group
AJP,ALLIED JOINT PUBLICATION
ALARM,AIR LAUNCHED ANTI-RADAR MISSILE
ALCE,ACE LOGISTIC CONTROL ELEMENT
ALCM,AIR-LAUNCHED CRUISE MISSILE
ALLDB,Analysis and Lessons Learned Data Base
ALISS,Advanced Lightweight Influence Sweep System
ALMDS,Airborne Laser Mine Detection System 
ALP,ALLIED LOGISTICS PUBLICATION
ALSS,ADVANCED LOGISTICS SUPPORT SITE
ALTBMD,Active Layered Theatre Ballistic Missile Defence 
ALTROCCENT,ALTERNATE REGIONAL OPERATIONAL CONTROL CENTRE
AMC,Air Mobility Command
AMCB,Army-Marine Corps Board 
AMCC,Allied Movement COORDINATION CENTRE
AMCM,AIRBORNE MINE COUNTER MEASURES
AMDP,Aeromedical Panel 
AMEDP,ALLIED MEDICAL PUBLICATION
AMEPP,ALLIED MARITIME ENVIRONMENTAL PROTECTION PUBLICATION
AMF(A),ACE MOBILE FORCES (AIR)
AMF(L),ACE MOBILE FORCES (LAND)
AMHS,AUTOMATED MESSAGE HANDLING SYSTEM
AMIB,ALLIED MILITARY INTELLIGENCE BATTALION
AMIS,African Mission in Sudan 
AMLIP,"Airfield Marking, Lighting and Infrastructure Panel "
AMNS,Airborne Mine Neutralisation System
AMOVP,ALLIED MOVEMENT PUBLICATION
AMP,ACT Management Plan
AMP,ALLIED MINING PUBLICATION(S)
AMP ,Allied Minewarfare Publication
AMP ,Adaptive Mission Planning 
AMRAAM,ADVANCED MEDIUM-RANGE AIR-TO-AIR MISSILE
ANA,Afghan National Army 
ANEP,ALLIED NAVAL ENGINEERING PUBLICATION
ANP-3,Allied Navigation Publication number 3
ANPP,ACE NUCLEAR PLANNING PROCESS
AO,Allied Operational (Task)
AO,Analysis Objectives
AO,Areas of Operations
AO WG,AIR OPERATIONS WORKING GROUP 
AOA,AMPHIBIOUS OBJECTIVE AREA
AOB,AIR ORDER OF BATTLE
AOB,Any Other Business
AOC,PfP Areas of Cooperation 
AOC,Air Operation Centre
AOCP,ALLIED OCEANOGRAPHIC PUBLICATION
AOII,AREA OF INTELLIGENCE INTEREST
AOIR,AREA OF INTELLIGENCE RESPONSIBILITY
AOO,Area of Operations
AOP,ALLIED ORDNANCE PUBLICATION
AOR,Area of Responsibility
AOS WG,AIR OPERATIONS SERVICES WORKING GROUP 
AOSp WG,AIR OPERATIONS SUPPORT WORKING GROUP 
AOSS,ACO Open Source System
AOT WG,AIR OPERATIONS TECHNICAL WORKING GROUP 
APAG,Atlantic Policy Advisory Group
APATC,ALLIED AIR TRAFFIC CONTROL PUBLICATION
APC,Atlantic Partnership Council
APIC,ALLIED PRESS INFORMATION CENTRE
APL ,Applied Physics Laboratory 
APL-UW ,"Applied Physics Laboratory, Univ of Washington "
APMS,Automated Personnel Management system
APOA,AIRIAL PORT OF ARRIVAL
APOD,AIRIAL PORT OF DEPARTURE
APOE,AIRIAL PORT OF EMBARKATION
APP,ALLIED PROCEDURES PUBLICATION
APS,Afloat Pre-positioning shipping
APSP,Airfield Pavements Sub-Panel 
AQAP,ALLIED QUALITY ASSURANCE PUBLICATION
AR,Allied Reach 
ARIES,Acoustic Radio Interactive Explorotary Server (AUV)
ARFPS,ACE REACTION FORCES PLANNING STAFF (SUCCEEDED BY CJPS 1 OCT 96)
ARG,Amphbious Ready Group
ARM,ANTI-RADIATION MISSILE
ARMP,ALLIED RELIABILITY AND MAINTAINABILITY PUBLICATION
ARP,Air Reconnaissance Panel 
ARRC,ACE RAPID REACTION CORPS
ARRC,Allied Rapid Reaction Corps
ARTEMIS,Autonomous Robotic Tomographic EnemyMine Identification/Neutrilazation System
ARTY WG,Artillery Working Group 
AS,Allied Strategic (Task)
AS2P ,Area Search and Screening Panel 
ASACS,Air Surveilance and Control System
ASAP,As Soon As Possible
ASAR ,Advanced Synthetic Aperture Radar 
ASAS,ALL SOURCE ANALYSIS SYSTEM
ASC,Allied Submarine Command
ASF,Aeromedical Staging Facility
ASG,AFCENT SUPPORT GROUP
ASG,Assistant Secretary General
ASG/DI,"Assistant Secretary General, Defense Investment (Division)"
ASG/PP,"Assistant Secretary General, Defense Planning and Policy (Division)"
ASGDI ,Assistant Secretary General (Defence Investment) 
ASM,AIR TO SURFACE MISSILE
ASMP,AIR TO SURFACE STAND-OFF MISSILE (FRENCH)
ASOC,AIR SUPPORT OPERATION CENTRE
ASPP,Airfield Services Procedures Panel 
ASR,Allied Standardization Requirement
ASRAAM,ADVANCED SHORT-RANGE AIR-TO-AIR MISSILE
ASSC ,ACT System Support Centre 
ASSEP,Aircraft Servicing and Standard Equipment Panel 
AST,Advisory Support Teams
AST WG,Asset Tracking Working Group 
ASTPA,Area Search Tactical Planning Aid
ASUW,Anti Surface Warfare
ASW ,Anti Submarine Warfare 
ASWSTRIKFOR,ASW STRIKING FORCE
AT,Air Transport
AT,Allied Tactical (Task)
AT,ANTI-TANK
AT,Antiterrorism
ATA,Atlantic Treaty Association (Rome)
ATACMS,ARMY TACTICAL MISSILE SYSTEM
ATAF,ALLIED TACTICAL AIR FORCE
ATAOO,AIR TACTICAL AREA OF OPERATIONS
ATBM,ANTI-TACTICAL BALLISTIC MISSILE
ATC,ARMOURED TROOP CARRIER (AIR TRAFFIC CONTROL)
ATF,AMPHIBIOUS TASK FORCE
ATG,ANTI-TANK GUN
ATGM,ANTI-TANK GUIDED MISSILE
ATGW,ANTI-TANK GUIDED WEAPON
ATL,ACE TARGET LIST
ATM,AIR TASKING MESSAGE
ATM,Army Tactical Mission
ATM,Asynchronous Transfer Mode
ATO,Air Tasking Order
ATOC,ALLIED TACTICAL OPERATIONS CENTRE
ATOMAL,NATO MARKING FOR US ATOMIC INFORMATION
ATP,Air Transport Panel 
ATP,ALLIED TACTICAL PUBLICATION
ATP 6 ,Allied Tactical Publication No.6 
ATR ,Automatic Target Recognition 
ATT,ACT Training Team
ATTU,ATLANTIC TO THE URALS
AUTODIN,Automatic Digital Network
AUV,Autonomous Underwater Vehicle
AUV ,Autonomous Underwater Vehicle 
AV,Air Vehicle
AVS,Automated Vulnerability Scanner
AVSP,Avionics Systems Panel 
AVTP,ALLIED VEHICLE TESTING PUBLICATION
AW,Allied Warrior 
AW ,Amphibious Warfare 
AWACS,AIRBORNE WARNING AND CONTROL SYSTEM
AWCS,ALTERNATE WAR HEADQUARTERS COMMUNICATIONS SQUADRON
AWHQ,ALTERNATE WAR HEADQUARTERS
AWP,ALLIED METEOROLOGY PUBLICATION
AWX,ALL WEATHER FIGHTER
AXP,ALLIED EXERCICES PUBLICATION
BAI,Backup Aircraft Inventory
BAI,BATTLEFIELD AIR INTERDICTION
BALTAP,ALLIED FORCES BALTIC APPROACHES (closed)
BAROPS,BARRIER OPERATIONS
BASE ,Broadband environmentally Adaptive Sonar Experiment 
BB ,Broadband 
BBS ,Bottom Backscattering Strength 
BDA,BATTLE DAMAGE ASSESSMENT
BDE,BRIGADE
BDR,Battle Damage Repair
BENENORTHWEST,MARITIME FORCES BELGIUM/NETHERLANDS NORTHWEST
BES,Budget Estimate Submission
BFSA,Blue Force Situational Awareness
BFT,Blue Force Tracking
BIAP,Baghdad International Airport
BICC,BICES INITIAL CORE CAPABILITY
BICC,Battlefield Initial Core Capability
BICES,Battlefield Information Collection and Exploitation System
BI-MNC-DIR,BILATERAL MAJOR NATO COMMAND DIRECTIVE
BIO,Biography
Bi-SC,Bi (= two) Strategic Commands (AC Operations; AC Transformation)
Bi-SC AIS ,Bi-SC Automated Information System
Bi-SC REP ,Bi-Strategic Commanders Recognised Environmental Picture 
Bi-SC TEED,"Bi-SC Training, Exercise and Evaluation Directive"
BIUG,BICES INTELLIGENCE USER GROUP
BLT,BATTALION LANDING TEAM
BM,Ballistic Missile
BMD,Ballistic Missile Defense
BMEWS,BALLISTIC MISSILE EARLY WARNING SYSTEM
BMP,Land Forces Battlefield Maintenance Panel
BMS,Buried Mine Sonar
BMS,Bureau Militaire de Standardisation 
BOD,Boards of Directors
BOSC ,Base Operating and Support Costs 
BPA,BATTLEFIELD PSYCHOLOGICAL ACTIVITIES
BPD,Boundary Protection Device
BPL,Basic Priority List
BPM,Business Process Model 
BPMG,BICES PROJECT MANAGEMENT GROUP
BR,Budget Report
BR,Budget Replacement
BRASS,Broadcast and Ship Shore 
BSA,BOSNIAN-SERB ARMY
BSC,Balanced Score Card
BST,Battle Staff Training
BTN,BATTALION
BTSC,BICES TEAM STEERING COMMITTEE
BTY,BATTERY
BUDFIN,Budget and Finance 
BW,Biological Warfare
BXP,BORDER CROSSING POINT
C,COMBINED (MULTINATIONAL)
C&EE,CENTRAL AND EASTERN EUROPE
C2,Command and Control
C2I,"Command, Control and Intelligence"
C2IEDM,C2 Information Exchange Data Model
C2W,Command and Control Warfare
C3,"Consultation, Command and Control"
C3I,"Command, Control, Communication and Intelligence"
C3ISRTA,"Command, Control, Communication, Intelligence, Surveillance and Reconnaissance and Target Acquisition"
C3S,"COMMAND, CONTROL AND COMMUNICATIONS SYSTEM"
C4,"Command, Control, Communications And Computers"
C4I,"Command, Control, Communications, Computers and Intelligence"
C4ISR,"Consultation, Command, Control and Communication Intelligence Surveillance & Reconnaissance"
C4ISR,"C4I, Surveillance and Reconnaissance"
CA,Civil Affairs
CA,COORDINATING AUTHORITY
CA,COUNTER AIR
CAA,COUNTER AIR ATTACK
CAAT-Xi,Canadian ATO/ACO Tool-XML Interpreter
CACGs,Consolidated Alliance Capability Goals
CADA,CO-ORDINATED AIR DEFENCE AREA
CADIMS,CO-ORDINATED AIR DEFENCE IN MUTUAL SUPPORT
CAFJASO,Concept for Alliance Future Joint Air and Space Operations 
CAFJO,Concept for Alliance Future Joint Operations
CAG,Command Action Group
CAG,Component Area Group
CAIP,Capability Area Improvement Plan
CAL,Critical Assets List
CALWG,Critical Assets List Working Group 
CAN,Aircraft Classification Number
CANLANT,CANADIAN ATLANTIC SUB-AREA
CAOC,Combined Air Operations Center
CAP,Capability Area Plan 
CAP,COMBAT AIR PATROL
CAP,Contingency Asset Pool 
CAP,Crisis Action Planning
CAPC,Civil Aviation Planning Committee
CAPCO,Capability Package Coordinating Officer
CAPS,Conventional Armaments Planning System
CARSTRIKFOR,CARRIER STRIKING FORCE
CAS,CLOSE AIR SUPPORT
CASEVAC,CASUALTY EVACUATION
CASOP,Crisis Action Standard Operating Procedures 
CAST,CANADIAN AIR-SEA TRANSPORTABLE
CAT,CJTF Analysis Team 
CAT,Crisis Action Team
CATF,COMMANDER AMPHIBIOUS TASK FORCE
CAX,Computer Assisted Exercise
CB,Capabilities Board
CBC,Civil Budget Committee
CBM,CONFIDENCE BUILDING MEASURES
CBP,Capabilities Based Planning 
CBR,Chemical Biological Radiological
CBR,Conference Briefing Room
CBRN,Chemical Biological Radiological Nuclear
CBRN ,Chemical Biological Radiological Nuclear 
CBRNE,"Cemical, Biological, Radiological, Nuclear and High-Yield Explosives"
CBU,CLUSTER BOMB UNIT
CBW,Chemical and Biological Warfare
CC,Courtesy Call
CC,Command Council
CC,COMPONENT COMMAND
CC&D,CAMOUFLAGE CONCEALMENT & DECEPTION
CCA,Confrontation and Collaboration Analysis 
CCA,Collaboration Confrontational Analysis 
